Country Name,Country Code,2014
Aruba,ABW,
Afghanistan,AFG,610.2419243
Angola,AGO,3747.56836
Albania,ALB,4419.442634
Andorra,AND,
Arab World,ARB,6282.349489
United Arab Emirates,ARE,39034.37628
Argentina,ARG,10323.20694
Armenia,ARM,3827.343195
American Samoa,ASM,9779.883487
Antigua and Barbuda,ATG,12363.31513
Australia,AUS,54394.33427
Austria,AUT,47681.16746
Azerbaijan,AZE,6122.980489
Burundi,BDI,243.1019118
Belgium,BEL,44670.37007
Benin,BEN,833.6624874
Burkina Faso,BFA,620.250852
Bangladesh,BGD,922.161128
Bulgaria,BGR,7299.552445
Bahrain,BHR,22390.68285
"Bahamas, The",BHS,21355.23104
Bosnia and Herzegovina,BIH,4980.20791
Belarus,BLR,6665.193496
Belize,BLZ,4440.701181
Bermuda,BMU,
Bolivia,BOL,2317.257186
Brazil,BRA,11866.38892
Barbados,BRB,15856.13538
Brunei Darussalam,BRN,33313.83278
Bhutan,BTN,2500.260145
Botswana,BWA,7574.282093
Central African Republic,CAF,302.5463692
Canada,CAN,50067.04279
Central Europe and the Baltics,CEB,13721.42161
Switzerland,CHE,75799.60618
Channel Islands,CHI,
Chile,CHL,14701.95389
China,CHN,6108.238642
Cote d'Ivoire,CIV,1384.910349
Cameroon,CMR,1293.631189
"Congo, Dem. Rep.",COD,378.7914096
"Congo, Rep.",COG,2922.973336
Colombia,COL,7291.691868
Comoros,COM,779.8398219
Cabo Verde,CPV,3369.642709
Costa Rica,CRI,9077.414805
Caribbean small states,CSS,8867.290784
Cuba,CUB,6182.773703
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,26977.62882
Czech Republic,CZE,20343.68375
Germany,DEU,44874.88121
Djibouti,DJI,1508.291657
Dominica,DMA,7031.440928
Denmark,DNK,59471.01588
Dominican Republic,DOM,6193.764783
Algeria,DZA,4675.885024
East Asia & Pacific (excluding high income),EAP,5198.572157
Early-demographic dividend,EAR,3288.524227
East Asia & Pacific,EAS,8924.230204
Europe & Central Asia (excluding high income),ECA,8879.562114
Europe & Central Asia,ECS,24355.96224
Ecuador,ECU,5439.375953
"Egypt, Arab Rep.",EGY,2608.375197
Euro area,EMU,37953.68913
Eritrea,ERI,
Spain,ESP,29494.41285
Estonia,EST,17352.66344
Ethiopia,ETH,452.7782361
European Union,EUU,34447.82955
Fragile and conflict affected situations,FCS,1455.242729
Finland,FIN,45239.3688
Fiji,FJI,4149.778589
France,FRA,41431.03961
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,2703.320892
Gabon,GAB,9508.148029
United Kingdom,GBR,40621.31307
Georgia,GEO,3851.723415
Ghana,GHA,1659.776145
Gibraltar,GIB,
Guinea,GIN,445.0249769
"Gambia, The",GMB,531.6388246
Guinea-Bissau,GNB,544.3604329
Equatorial Guinea,GNQ,15851.13597
Greece,GRC,22479.00875
Grenada,GRD,7933.675121
Greenland,GRL,40629.96252
Guatemala,GTM,3007.900213
Guam,GUM,32042.29119
Guyana,GUY,3573.716172
High income,HIC,40939.69492
"Hong Kong SAR, China",HKG,35657.51612
Honduras,HND,2059.474909
Heavily indebted poor countries (HIPC),HPC,811.5441946
Croatia,HRV,13517.83487
Haiti,HTI,728.7803218
Hungary,HUN,14042.28147
IBRD only,IBD,5286.024987
IDA & IBRD total,IBT,4273.137692
IDA total,IDA,1174.362102
IDA blend,IDB,1721.816525
Indonesia,IDN,3692.942875
IDA only,IDX,897.020825
Isle of Man,IMN,80211.80195
India,IND,1646.781252
Not classified,INX,
Ireland,IRL,51965.89141
"Iran, Islamic Rep.",IRN,5916.289691
Iraq,IRQ,5203.442256
Iceland,ISL,44477.93581
Israel,ISR,32954.23304
Italy,ITA,33615.97151
Jamaica,JAM,4715.83777
Jordan,JOR,3348.826851
Japan,JPN,46466.12297
Kazakhstan,KAZ,10645.45626
Kenya,KEN,1075.638763
Kyrgyz Republic,KGZ,1003.510404
Cambodia,KHM,972.9792448
Kiribati,KIR,1588.756486
St. Kitts and Nevis,KNA,15029.61654
"Korea, Rep.",KOR,24323.57284
Kuwait,KWT,36259.39194
Latin America & Caribbean (excluding high income),LAC,9223.483869
Lao PDR,LAO,1470.502367
Lebanon,LBN,7262.24259
Liberia,LBR,376.5888573
Libya,LBY,
St. Lucia,LCA,6984.152151
Latin America & Caribbean,LCN,9550.993459
Least developed countries: UN classification,LDC,857.8533741
Low income,LIC,572.1579049
Liechtenstein,LIE,
Sri Lanka,LKA,3506.731828
Lower middle income,LMC,1965.707674
Low & middle income,LMY,4154.593522
Lesotho,LSO,1316.33376
Late-demographic dividend,LTE,7468.655865
Lithuania,LTU,14932.60268
Luxembourg,LUX,107352.7109
Latvia,LVA,13816.9547
"Macao SAR, China",MAC,69749.13105
St. Martin (French part),MAF,
Morocco,MAR,3110.20901
Monaco,MCO,
Moldova,MDA,1986.94062
Madagascar,MDG,408.6610331
Maldives,MDV,7164.675511
Middle East & North Africa,MEA,7401.899013
Mexico,MEX,9492.550949
Marshall Islands,MHL,3329.448923
Middle income,MIC,4571.057963
"Macedonia, FYR",MKD,4920.216063
Mali,MLI,705.7884727
Malta,MLT,24080.76256
Myanmar,MMR,1266.124091
Middle East & North Africa (excluding high income),MNA,3953.148464
Montenegro,MNE,7045.118138
Mongolia,MNG,3901.866608
Northern Mariana Islands,MNP,14323.3644
Mozambique,MOZ,493.2522361
Mauritania,MRT,1326.158668
Mauritius,MUS,9163.633354
Malawi,MWI,484.3686249
Malaysia,MYS,10398.76096
North America,NAC,50716.26858
Namibia,NAM,5909.404592
New Caledonia,NCL,
Niger,NER,385.0022346
Nigeria,NGA,2563.092116
Nicaragua,NIC,1812.994742
Netherlands,NLD,50497.2368
Norway,NOR,89080.61599
Nepal,NPL,675.7352885
Nauru,NRU,9360.629045
New Zealand,NZL,36006.0215
OECD members,OED,37315.39955
Oman,OMN,17132.08878
Other small states,OSS,13244.932
Pakistan,PAK,1111.195962
Panama,PAN,10229.2269
Peru,PER,5823.964341
Philippines,PHL,2505.818945
Palau,PLW,9607.728556
Papua New Guinea,PNG,1716.489477
Poland,POL,14090.11941
Pre-demographic dividend,PRE,1474.84925
Puerto Rico,PRI,
"Korea, Dem. People?s Rep.",PRK,
Portugal,PRT,21533.46995
Paraguay,PRY,3761.911847
West Bank and Gaza,PSE,2529.996256
Pacific island small states,PSS,3132.872748
Post-demographic dividend,PST,41070.0732
French Polynesia,PYF,
Qatar,QAT,67901.21881
Romania,ROU,9158.519314
Russian Federation,RUS,11493.72654
Rwanda,RWA,672.7489187
South Asia,SAS,1510.395874
Saudi Arabia,SAU,21183.46489
Sudan,SDN,1837.138362
Senegal,SEN,1020.080093
Singapore,SGP,51865.71799
Solomon Islands,SLB,1442.232554
Sierra Leone,SLE,563.1974845
El Salvador,SLV,3668.199446
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,5593.061202
Sub-Saharan Africa (excluding high income),SSA,1650.615509
South Sudan,SSD,820.1140105
Sub-Saharan Africa,SSF,1651.710424
Small states,SST,11807.96232
Sao Tome and Principe,STP,1237.47165
Suriname,SUR,8952.603256
Slovak Republic,SVK,17972.09208
Slovenia,SVN,23258.93644
Sweden,SWE,53561.89212
Swaziland,SWZ,4088.565795
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,13379.59057
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,967.1027773
East Asia & Pacific (IDA & IBRD countries),TEA,5253.907245
Europe & Central Asia (IDA & IBRD countries),TEC,9319.189971
Togo,TGO,531.1561022
Thailand,THA,5589.698732
Tajikistan,TJK,892.6400458
Turkmenistan,TKM,6399.270662
Latin America & the Caribbean (IDA & IBRD countries),TLA,9483.764653
Timor-Leste,TLS,967.9967415
Middle East & North Africa (IDA & IBRD countries),TMN,3970.093286
Tonga,TON,3581.092333
South Asia (IDA & IBRD),TSA,1510.395874
Sub-Saharan Africa (IDA & IBRD countries),TSS,1651.710424
Trinidad and Tobago,TTO,16862.55007
Tunisia,TUN,4265.145569
Turkey,TUR,13312.02706
Tuvalu,TUV,3282.523857
Tanzania,TZA,806.1500785
Uganda,UGA,643.8082408
Ukraine,UKR,3123.915572
Upper middle income,UMC,7572.255348
Uruguay,URY,13856.69518
United States,USA,50782.5207
Uzbekistan,UZB,1744.491243
St. Vincent and the Grenadines,VCT,6477.912268
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,30328.85433
Vietnam,VNM,1596.345695
Vanuatu,VUT,2909.775418
World,WLD,10108.4985
Samoa,WSM,3524.64988
Kosovo,XKX,3603.754835
"Yemen, Rep.",YEM,1101.117444
South Africa,ZAF,7627.851926
Zambia,ZMB,1620.82329
Zimbabwe,ZWE,932.548383
